,city,lat,long,temp,humidity,cloudiness,windspeed,max temp,country
273,Adrar,20.5,-10.07,35.05,16,38,1.23,35.05,MR
274,Muravlenko,63.79,74.52,15.39,80,93,1.8,15.39,RU
275,Abhā,18.22,42.51,18.93,63,95,2.1,20.0,SA
276,Leningradskiy,69.38,178.42,7.65,75,98,4.31,7.65,RU
277,Kropotkin,45.44,40.58,20.17,52,0,3.17,20.17,RU
278,Umluj,25.02,37.27,26.79,52,0,1.09,26.79,SA
279,Sioux Lookout,50.1,-91.92,30.0,35,20,2.6,30.0,CA
280,Paita,-5.09,-81.11,17.78,83,53,6.66,17.78,PE
281,Pitimbu,-7.47,-34.81,23.0,100,52,1.5,23.0,BR
282,Lyngseidet,69.58,20.22,7.0,87,75,6.7,7.0,NO
283,Castro,-24.79,-50.01,6.62,79,21,0.35,6.62,BR
284,Gīdam,18.98,81.4,25.02,87,82,0.69,25.02,IN
285,Mehamn,71.04,27.85,7.08,86,96,9.61,7.08,NO
286,Puerto Escondido,15.85,-97.07,28.0,69,90,2.23,28.0,MX
287,Iralaya,15.0,-83.23,25.62,87,100,3.57,25.62,HN
288,Lavrentiya,65.58,-171.0,7.19,91,97,1.75,7.19,RU
289,Nísia Floresta,-6.09,-35.21,24.0,94,70,2.1,24.0,BR
290,Faya,18.39,42.45,19.0,63,86,0.69,20.0,SA
291,San Fernando del Valle de Catamarca,-28.47,-65.79,5.24,59,5,0.89,7.78,AR
292,Charters Towers,-20.1,146.27,20.02,53,49,4.17,20.02,AU
293,Katangli,51.71,143.23,15.25,65,72,5.16,15.25,RU
294,Guerrero Negro,27.98,-114.06,24.51,51,0,8.14,24.51,MX
295,Omsukchan,62.53,155.8,10.34,55,100,2.19,10.34,RU
296,Satuba,-9.56,-35.82,23.0,88,20,2.6,23.0,BR
297,Hīrāpur Hamesha,21.53,79.77,28.74,65,82,1.53,28.74,IN
298,Baykit,61.67,96.37,22.7,48,28,2.04,22.7,RU
299,Storsteinnes,69.24,19.23,7.0,81,72,8.2,7.0,NO
300,Örnsköldsvik,63.29,18.72,8.0,93,99,4.6,8.0,SE
301,Abalak,58.13,68.59,10.34,89,27,2.45,10.34,RU
302,Tonantins,-2.87,-67.8,24.33,94,85,0.92,24.33,BR
303,Chishtian,29.8,72.87,36.86,32,3,4.62,36.86,PK
304,Ajdabiya,30.76,20.23,22.45,71,0,3.61,22.45,LY
305,Asău,46.43,26.4,18.89,84,0,2.06,18.89,RO
306,Smithers,54.78,-127.17,14.0,93,90,3.1,14.0,CA
307,Eureka,40.8,-124.16,17.99,40,2,1.34,18.89,US
308,Rāvar,31.27,56.81,24.55,22,50,0.32,24.55,IR
309,Wynyard,-41.0,145.72,9.44,63,27,3.58,9.44,AU
310,Lüderitz,-26.65,15.16,13.0,71,0,3.1,13.0,NA
311,Bonga,7.28,36.23,14.28,90,100,0.33,14.28,ET
312,Paso de los Toros,-32.82,-56.52,6.0,93,75,2.56,6.0,UY
313,Jacksonville,30.33,-81.66,32.48,44,75,5.7,34.0,US
314,Kaeo,-35.1,173.78,13.89,71,0,0.89,13.89,NZ
315,Egvekinot,66.32,-179.17,8.13,70,73,2.53,8.13,RU
316,Alta Floresta,-9.88,-56.09,24.19,61,100,1.52,24.19,BR
317,Verāval,20.9,70.37,29.97,75,81,5.45,29.97,IN
318,Beringovskiy,63.05,179.32,11.85,54,48,5.41,11.85,RU
319,Mossamedes,-15.2,12.15,20.3,59,0,1.73,20.3,AO
320,Aberdeen,57.14,-2.1,10.56,87,99,2.1,11.0,GB
321,Kloulklubed,7.04,134.26,28.0,83,75,2.1,28.0,PW
322,Gijón,43.54,-5.66,14.68,79,72,1.42,15.56,ES
323,Acapulco de Juárez,16.86,-99.89,31.0,70,75,2.6,31.0,MX
324,La Pintada,5.75,-75.61,16.09,60,40,3.1,20.0,CO
325,Vrangel',42.73,133.08,16.72,79,1,3.95,16.72,RU
326,Tsybli,49.99,31.56,18.0,88,13,2.0,18.0,UA
327,Polyarny,69.2,33.45,6.0,87,0,1.0,6.0,RU
328,Sandūr,15.1,76.55,23.57,81,100,8.55,23.57,IN
329,Penzance,50.12,-5.54,12.0,100,58,3.6,12.0,GB
330,Longkou,37.65,120.33,21.95,76,95,2.18,21.95,CN
331,Chumikan,54.72,135.31,20.69,55,38,8.66,20.69,RU
332,Altamira,-3.2,-52.21,24.74,75,71,0.84,24.74,BR
333,San Quintín,30.48,-115.95,21.29,63,0,5.77,21.29,MX
334,Southbridge,42.08,-72.03,23.41,95,46,0.8,26.11,US
335,Ambilobe,-13.2,49.05,18.44,77,46,1.44,18.44,MG
336,Canyon Lake,29.88,-98.26,34.17,45,97,2.24,34.44,US
337,Shambu,9.57,37.1,10.96,100,100,1.06,10.96,ET
338,Yerbogachën,61.28,108.01,21.08,53,97,2.26,21.08,RU
339,Gouyave,12.16,-61.73,29.0,74,20,10.3,29.0,GD
340,Khovd,48.01,91.64,18.77,39,1,2.74,18.77,MN
341,Monrovia,6.3,-10.8,24.0,100,75,2.1,24.0,LR
342,Mount Isa,-20.73,139.5,21.0,37,28,6.7,21.0,AU
343,Khowst,33.38,69.88,25.52,21,0,2.6,25.52,AF
344,Tura,25.52,90.22,24.01,99,100,2.29,24.01,IN
345,Comodoro Rivadavia,-45.87,-67.5,7.0,87,100,1.0,7.0,AR
346,Launceston,-41.45,147.17,6.06,81,44,4.6,6.11,AU
347,Inuvik,68.35,-133.72,7.0,93,90,4.6,7.0,CA
348,Yima,34.74,111.88,26.11,99,41,2.43,26.11,CN
349,Zhezkazgan,47.8,67.71,11.0,71,20,10.0,11.0,KZ
350,Sistranda,63.73,8.83,10.0,81,40,4.1,10.0,NO
351,Cape Girardeau,37.31,-89.52,29.44,66,1,2.1,30.0,US
352,Strezhevoy,60.73,77.59,17.0,88,95,2.0,17.0,RU
353,Isabela,6.71,121.97,27.44,75,60,0.7,27.44,PH
354,Labuhan,-6.88,112.21,24.94,83,96,2.36,24.94,ID
355,Erzin,36.96,36.2,23.89,89,0,0.55,23.89,TR
356,Bisira,8.52,-81.71,16.35,100,100,0.73,16.35,PA
357,Dalbandin,28.89,64.41,28.1,22,0,2.18,28.1,PK
358,Apricena,41.78,15.44,25.0,78,20,2.6,25.0,IT
359,Marawi,8.0,124.29,27.22,82,35,0.89,27.22,PH
360,Bathsheba,13.22,-59.52,28.0,74,40,9.8,28.0,BB
361,Chapais,49.78,-74.85,25.0,36,1,3.6,25.0,CA
362,Faanui,-16.48,-151.75,26.86,81,45,9.43,26.86,PF
363,Kokoda,-8.88,147.74,26.56,63,87,1.84,26.56,PG
364,Port Hardy,50.7,-127.42,18.0,52,75,6.2,18.0,CA
365,Ouésso,1.61,16.05,22.01,91,23,0.48,22.01,CG
366,Tete,-16.16,33.59,13.94,82,0,1.35,14.0,MZ
367,Nsanje,-16.92,35.26,15.48,92,1,0.53,15.48,MW
368,Saposoa,-6.93,-76.77,23.49,83,92,0.88,23.49,PE
369,Haines Junction,60.75,-137.51,23.45,20,0,2.01,23.45,CA
370,Kyabé,9.45,18.94,23.75,86,36,3.02,23.75,TD
371,Dingle,11.0,122.67,28.39,73,63,0.92,28.39,PH
372,Ulaanbaatar,47.91,106.88,13.0,87,40,1.0,13.0,MN
373,Kefamenanu,-9.45,124.48,22.01,81,57,2.81,22.01,ID
374,Shiyan,32.65,110.78,25.37,80,14,0.2,25.37,CN
375,Bay Roberts,47.6,-53.26,10.73,1,100,4.89,11.11,CA
376,Koratla,18.82,78.72,25.9,84,100,4.76,25.9,IN
377,Mitsamiouli,-11.38,43.28,24.61,70,53,2.76,24.61,KM
378,Klaksvík,62.23,-6.59,6.0,87,100,2.1,6.0,FO
379,San Diego,32.72,-117.16,23.35,60,1,5.1,25.0,US
380,Cabedelo,-6.98,-34.83,23.0,100,78,1.5,23.0,BR
381,Ipixuna,-1.76,-48.8,28.0,78,40,2.6,28.0,BR
382,Vila Velha,-20.33,-40.29,21.83,78,90,3.1,22.0,BR
383,Alto Piquiri,-24.03,-53.44,8.87,91,15,2.4,8.87,BR
384,Grafton,42.21,-71.69,24.7,64,1,3.6,26.67,US
385,Shelburne,44.08,-80.2,29.01,43,1,3.6,31.0,CA
386,Ōtake,34.2,132.22,22.1,83,90,1.54,22.22,JP
387,Santa Marinella,42.03,11.85,21.67,82,0,1.2,21.67,IT
388,Atar,20.52,-13.05,34.69,20,4,1.72,34.69,MR
389,Ilebo,-4.32,20.58,23.13,62,60,0.62,23.13,CD
390,Arlit,18.74,7.39,33.06,11,0,3.28,33.06,NE
391,Bundaberg,-24.85,152.35,16.0,100,40,3.1,16.0,AU
392,San Joaquin,10.26,-67.79,22.9,90,43,2.7,22.9,VE
393,Richards Bay,-28.78,32.04,16.46,61,0,3.19,16.46,ZA
394,Margherita,27.28,95.68,26.0,94,75,2.1,26.0,IN
395,Bethel,41.37,-73.41,25.9,62,18,3.13,26.67,US
396,Lüshunkou,38.8,121.27,20.0,94,75,3.0,20.0,CN
397,Innisfail,-17.53,146.03,18.89,75,46,2.68,18.89,AU
398,Río Gallegos,-51.62,-69.22,0.0,96,75,2.6,0.0,AR
399,Pangnirtung,66.15,-65.71,11.84,49,44,0.62,11.84,CA
400,Alice Town,25.72,-79.3,29.94,66,8,4.09,29.94,BS
401,Tilichiki,60.47,166.1,8.26,99,100,5.8,8.26,RU
402,Gardabani,41.46,45.09,21.0,52,0,1.5,21.0,GE
403,Korla,41.76,86.15,28.89,55,14,1.34,28.89,CN
404,Porto-Novo,6.5,2.6,26.0,88,40,6.2,26.0,BJ
405,Irig,45.1,19.86,21.74,88,8,1.5,22.22,RS
406,Ixtapa,20.7,-105.2,30.0,70,90,4.6,30.0,MX
407,Bambous Virieux,-20.34,57.76,21.05,83,75,6.2,21.11,MU
408,Atambua,-9.11,124.89,23.5,69,30,2.57,23.5,ID
409,Wairoa,-39.03,177.37,11.67,54,55,4.92,11.67,NZ
410,Santa Cruz de Tenerife,28.47,-16.25,19.38,93,90,10.3,20.56,ES
411,Sydney,-33.87,151.21,13.87,41,20,7.2,15.0,AU
412,Berezovyy,51.67,135.7,27.18,36,47,5.12,27.18,RU
413,Beyneu,45.32,55.2,22.74,21,0,4.16,22.74,KZ
414,São Francisco,-15.95,-44.86,23.24,50,100,2.23,23.24,BR
415,Marsá Maţrūḩ,31.35,27.25,23.0,88,0,3.4,23.0,EG
416,Zhicheng,30.3,111.5,23.89,97,50,1.02,23.89,CN
417,Aljezur,37.32,-8.8,18.33,66,0,6.77,18.33,PT
418,Wad Rāwah,15.16,33.14,29.09,53,66,7.21,29.09,SD
419,Aginskoye,51.1,114.53,22.41,54,15,2.59,22.41,RU
420,Barra de Tecoanapa,16.52,-98.75,29.31,67,74,3.13,29.31,MX
421,Fortuna,40.6,-124.16,17.15,72,20,7.2,18.89,US
422,Batagay-Alyta,67.8,130.41,14.24,49,74,10.67,14.24,RU
423,Colac,-38.33,143.58,5.37,99,97,4.12,6.11,AU
424,Mandurah,-32.55,115.7,12.22,99,0,4.86,12.22,AU
425,Hille,52.33,8.75,14.44,93,62,2.74,15.0,DE
426,São José da Coroa Grande,-8.9,-35.15,24.12,82,0,2.9,24.12,BR
427,Ponnampet,12.15,75.93,19.97,98,100,2.31,19.97,IN
428,Chifeng,42.27,118.96,22.38,63,100,0.39,22.38,CN
429,Kathu,7.92,98.33,28.0,88,20,3.44,29.44,TH
430,Amos,48.57,-78.12,22.15,94,75,3.1,22.78,CA
431,Nieuw Amsterdam,5.88,-55.08,27.03,83,40,2.1,28.0,SR
432,Kāmyārān,34.8,46.94,24.0,17,0,4.1,24.0,IR
433,Atikokan,48.76,-91.62,31.24,33,0,1.7,31.24,CA
434,Aykhal,66.0,111.5,11.0,71,90,5.0,11.0,RU
435,Victor Harbor,-35.57,138.62,12.78,89,38,0.89,12.78,AU
436,Necochea,-38.55,-58.74,7.78,95,90,1.34,7.78,AR
437,Mizdah,31.45,12.98,23.58,28,0,0.29,23.58,LY
438,Angoche,-16.23,39.91,21.54,77,84,5.21,21.54,MZ
439,Vila,42.03,-8.16,13.35,71,19,4.6,15.56,PT
440,Bāndarban,22.2,92.23,24.97,94,92,1.05,24.97,BD
441,Kysyl-Syr,63.9,122.76,18.7,49,54,5.52,18.7,RU
442,Freetown,8.48,-13.23,23.45,94,100,2.94,23.45,SL
443,Katsuura,35.13,140.3,25.58,73,98,0.89,26.67,JP
444,Stephenville,32.22,-98.2,28.72,51,1,2.1,30.0,US
445,Santa Cruz de la Sierra,-17.8,-63.17,18.0,55,90,2.1,18.0,BO
446,Abū Zabad,12.35,29.25,26.85,57,53,7.09,26.85,SD
447,Xianyang,34.34,108.7,25.25,88,14,3.0,27.78,CN
448,Mandalī,33.75,45.55,28.65,16,0,1.52,28.65,IQ
449,Novokizhinginsk,51.61,109.59,21.16,54,54,1.48,21.16,RU
450,Salé,34.04,-6.82,21.54,88,40,3.6,22.22,MA
451,Cervo,43.67,-7.41,8.9,90,32,1.12,10.0,ES
452,Hualmay,-11.1,-77.61,15.81,85,34,3.81,15.81,PE
453,San Lorenzo,-25.33,-57.53,11.0,76,5,2.1,11.0,PY
454,Ust'-Kulom,61.69,53.69,11.97,97,92,2.25,11.97,RU
455,Kavaratti,10.57,72.64,28.54,77,100,9.45,28.54,IN
456,Esperance,-33.87,121.9,9.0,100,90,2.6,9.0,AU
457,Iablaniţa,44.95,22.31,21.11,88,28,0.89,21.11,RO
458,Zhigansk,66.77,123.37,13.85,69,92,7.29,13.85,RU
459,Road Town,18.42,-64.62,28.93,79,40,5.1,29.0,VG
460,Port Antonio,18.18,-76.46,29.91,70,40,10.3,31.0,JM
461,Opuwo,-18.06,13.84,14.82,39,0,5.38,14.82,NA
462,Kushiro,42.98,144.37,15.0,100,75,2.1,15.0,JP
463,Gemeente Wageningen,51.97,5.67,13.78,100,20,2.6,15.0,NL
464,Aklavik,68.22,-135.01,9.0,70,90,5.7,9.0,CA
465,Sept-Îles,50.2,-66.38,16.39,77,40,2.6,16.67,CA
466,Teya,60.38,92.63,22.61,55,0,1.68,22.61,RU
467,Rehoboth,-23.32,17.08,7.39,56,0,1.66,7.39,NA
468,Broken Hill,-31.95,141.43,9.0,70,0,5.1,9.0,AU
469,Banjar,-8.19,114.97,24.0,100,40,1.5,24.0,ID
470,Paine,-33.82,-70.75,13.0,82,75,1.5,13.0,CL
471,Berlevåg,70.86,29.09,7.63,84,94,7.15,7.63,NO
472,Maunabo,18.01,-65.9,27.98,86,27,5.16,28.89,PR
473,Warrnambool,-38.38,142.48,8.33,95,100,7.41,8.33,AU
474,Panzhihua,26.59,101.71,20.0,75,79,0.37,20.0,CN
475,Pala,9.36,14.9,25.9,68,1,2.25,25.9,TD
476,Liverpool,53.41,-2.98,13.27,82,85,4.1,14.0,GB
477,Zyryanka,65.75,150.85,7.12,87,100,5.83,7.12,RU
478,Ulladulla,-35.35,150.47,9.09,62,0,6.7,12.22,AU
479,Pemba,-12.97,40.52,23.26,68,82,6.78,23.26,MZ
480,Akonolinga,3.77,12.25,20.11,98,100,1.2,20.11,CM
481,Taywarah,33.35,64.42,10.78,42,0,2.51,10.78,AF
482,Nowy Dwór Mazowiecki,52.43,20.72,18.3,93,93,0.5,19.44,PL
483,Betioky,-23.72,44.38,15.46,73,0,3.12,15.46,MG
484,Vostok,46.49,135.88,21.1,41,31,1.12,21.1,RU
485,Newport,51.59,-3.0,12.4,87,67,0.45,15.0,GB
486,Manakara,-22.13,48.02,16.21,92,25,2.11,16.21,MG
487,Mabaruma,8.2,-59.78,23.87,96,100,1.7,23.87,GY
488,Fuerte Olimpo,-21.04,-57.87,15.72,55,100,1.36,15.72,PY
489,Tamiahua,21.27,-97.45,28.85,74,92,4.4,28.85,MX
490,Mananjary,-21.22,48.33,17.24,90,54,2.85,17.24,MG
491,Karratha,-20.74,116.85,23.15,33,70,9.57,23.15,AU
492,Ola,59.58,151.28,13.3,62,4,3.18,13.3,RU
493,Bow Island,49.87,-111.37,21.67,35,75,10.8,23.0,CA
494,São João da Barra,-21.64,-41.05,20.29,76,99,2.42,20.29,BR
495,Nouadhibou,20.93,-17.03,20.0,88,0,5.7,20.0,MR
496,Kuusamo,65.97,29.18,5.0,100,0,1.5,5.0,FI
497,Moose Factory,51.26,-80.61,23.0,49,1,4.6,23.0,CA
498,Caniço,32.63,-16.85,19.19,73,40,7.7,22.0,PT
499,La Ronge,55.1,-105.28,15.0,93,90,3.6,15.0,CA
500,Canals,38.96,-0.58,23.55,87,24,0.45,24.44,ES
501,Kongolo,-5.38,27.0,21.82,57,24,1.42,21.82,CD
502,Yangi Marg`ilon,40.43,71.72,18.0,52,0,2.1,18.0,UZ
503,Portobelo,9.55,-79.65,26.88,83,100,3.13,27.22,PA
504,Chokwé,-24.53,32.98,15.51,66,0,1.65,15.51,MZ
505,Srikakulam,18.3,83.9,28.6,80,100,1.04,28.6,IN
506,Brownsville,25.9,-97.5,31.35,62,1,6.7,33.0,US
507,Roald,62.58,6.13,7.72,81,100,5.1,8.33,NO
508,Havelock,34.88,-76.9,27.3,82,53,0.45,27.78,US
509,Aban,56.67,96.06,22.69,60,8,3.76,22.69,RU
510,Mikkeli,61.69,27.27,13.33,97,84,2.13,13.33,FI
511,Honningsvåg,70.98,25.97,7.33,86,100,12.37,7.33,NO
512,Chunskiy,56.08,99.63,23.37,56,0,1.57,23.37,RU
513,Senanga,-16.12,23.27,11.97,47,0,3.78,11.97,ZM
514,Tres Picos,15.87,-93.53,28.15,72,89,1.26,28.15,MX
515,Nhulunbuy,-12.23,136.77,26.0,78,75,5.1,26.0,AU
516,San Jose,37.34,-121.89,24.55,41,20,7.2,27.22,US
517,Petropavlovsk-Kamchatskiy,53.05,158.65,14.0,71,40,3.0,14.0,RU
518,Correntina,-13.34,-44.64,21.95,53,39,0.91,21.95,BR
519,Krasnoshchekovo,51.67,82.73,16.01,82,2,1.88,16.01,RU
520,Canmore,51.08,-115.35,17.49,48,1,7.2,18.89,CA
521,Kodinsk,58.69,99.18,25.71,57,2,1.82,25.71,RU
522,Gaoua,10.3,-3.25,26.04,68,15,2.88,26.04,BF
523,Olaine,56.79,23.94,13.0,93,55,3.1,13.0,LV
524,Arica,-18.48,-70.3,16.0,77,1,3.1,16.0,CL
525,Indiana,40.0,-86.25,29.09,54,1,3.1,29.44,US
526,Chuzhou,32.32,118.3,25.56,99,98,0.45,25.56,CN
527,Msowero,-6.53,37.2,16.48,77,66,0.81,16.48,TZ
528,Pacific Grove,36.62,-121.92,19.88,60,1,7.7,21.11,US
529,Harper,4.38,-7.72,24.26,82,47,3.79,24.26,LR
530,Jinxiang,22.86,115.7,28.91,79,100,4.52,28.91,CN
531,Nipawin,53.37,-104.0,20.0,68,1,2.1,20.0,CA
532,Balkhash,46.84,74.98,17.28,61,9,6.63,17.28,KZ
533,Vaitape,-16.52,-151.75,27.33,79,45,9.43,27.33,PF
534,Berbera,10.44,45.01,32.53,40,38,12.65,32.53,SO
535,Mikuni,36.22,136.15,21.0,88,75,1.0,21.0,JP
536,Perelyub,51.87,50.37,17.92,83,9,1.96,17.92,RU
537,Burdinne,50.58,5.08,12.92,76,1,4.1,13.0,BE
538,Sovetskiy,61.36,63.58,11.5,71,46,1.56,11.5,RU
539,Nacala,-14.54,40.67,21.28,75,78,4.86,21.28,MZ
540,Ati,13.22,18.34,33.6,25,56,3.06,33.6,TD
541,Kingsport,36.55,-82.56,29.31,45,40,2.1,30.0,US
542,Sibu,2.3,111.82,23.93,88,40,1.5,24.0,MY
543,Lodja,-3.48,23.43,22.76,70,50,0.42,22.76,CD
